command,syntax
rmon alarm,"{'no rmon alarm index', 'rmon alarm index mib-object-id interval rising-threshold falling-threshold rising-event falling-event [type {absolute | delta}] [startup {rising | rising-falling | falling}] [owner name]', 'rmon alarm index interface interface-id {variableinterval {absolute | delta} rising rising-threshold rising-event falling falling-threshold falling-event startup {rising | rising-falling | falling} [owner NAME]'}"
rmon collection stats,"{'rmon collection stats index [owner ownername] [buckets bucket-number] [interval seconds]', 'no rmon collection stats index'}"
rmon event,"{'rmon event index {none | log | trap | log-trap} [community text] [description text] [owner name]', 'rmon event index {log | trap COMMUNITY | log trap COMMUNITY} [description DESCRIPTION] [owner NAME]', 'no rmon event index'}"
rmon history,"{'rmon history index interface interface-id [buckets bucket-number] [interval seconds | owner NAME]', 'no rmon history index'}"
rmon table-size,"{'rmon table-size {history entries | log entries}', 'no rmon table-size {history | log}'}"
route-map (Policy Routing),"{'no route-map map-tag [sequence-number]', 'route-map map-tag [sequence-number]'}"
router rip,"{'no router rip', 'router rip'}"
router-preference,"{'no router-preference [maximum] [minimum]', 'router-preference [maximum {value | disable}] [minimum {value | disable}]'}"
sec-level minimum,"{'sec-level minimum value | disable', 'no sec-level minimum'}"
security-suite deny fragmented,"{'no security-suite deny fragmented', 'security-suite deny fragmented {[add {ip-address | any} {mask | /prefix-length}] | [remove {ip-address | any} {mask | /prefix-length}]}'}"
security-suite deny icmp,"{'no security-suite deny icmp', 'security-suite deny icmp {[add {ip-address | any} {mask | /prefix-length}] | [remove {ip-address | any} {mask | /prefix-length}]}'}"
security-suite deny martian-addresses,"{'security-suite deny martian-addresses {add {ip-address {mask | /prefix-length} | remove {ip-address {mask | /prefix-length} (Add/remove user-specified IP addresses)', 'no security-suite deny martian-addresses (This command removes addresses reserved by security-suite deny martian-addresses {add {ip-address {mask | /prefix-length} | remove {ip-address {mask | /prefix-length}, and removes all entries added by the user. The user can remove a specific entry by using remove ip-address {mask | /prefix-length} parameter.', 'security-suite deny martian-addresses reserved {add | remove} (Add/remove system-reserved IP addresses, see tables below)', 'There is no no form of the security-suite deny martian-addresses reserved {add | remove} command. Use instead the security-suite deny martian-addresses reserved remove command to remove protection (and free up hardware resources).'}"
security-suite deny syn,"{'security-suite deny syn {[add {tcp-port | any} {ip-address | any} {mask | /prefix-length}] | [remove {tcp-port | any} {ip-address | any} {mask | /prefix-length}]}', 'no security-suite deny syn'}"
security-suite deny syn-fin,"{'no security-suite deny syn-fin', 'security-suite deny syn-fin'}"
security-suite dos (Global),"{'no security-suite dos {daeqsa-deny | icmp-frag-pkts-deny | icmpv4-ping-max-check | icmpv6-ping-max-check | ipv6-min-frag-size-check | land-deny | nullscan-deny | pod-deny | smurf-deny | syn-sport|1024-deny | synfin-deny | synrst-deny | tcp-frag-off-min-check | tcpblat-deny | tcphdr-min-check | udpblat-deny | xma-deny}', 'security-suite dos smurf-netmask MASK', 'security-suite dos tcphdr-min-length HDR_MIN_LEN', 'security-suite dos ipv6-min-frag-size-length MIN_LEN', 'security-suite dos {daeqsa-deny | icmp-frag-pkts-deny | icmpv4-ping-max-check | icmpv6-ping-max-check | ipv6-min-frag-size-check | land-deny | nullscan-deny | pod-deny | smurf-deny | syn-sport|1024-deny | synfin-deny | synrst-deny | tcp-frag-off-min-check | tcpblat-deny | tcphdr-min-check | udpblat-deny | xma-deny}', 'security-suite dos icmp-ping-max-length MAX_LEN'}"
security-suite dos (Interface),"{'security-suite dos', 'no security-suite dos'}"
security-suite dos ip gratuitous-arps,"{'no security-suite dos ip gratuitous-arps', 'security-suite dos ip gratuitous-arps'}"
security-suite dos protect,"{'no security-suite dos protect', 'security-suite dos protect {add attack | remove attack}'}"
security-suite dos syn-attack,"{'no security-suite dos syn-attack {any | ip-address} {mask | prefix-length}', 'security-suite dos syn-attack syn-rate {any | ip-address} {mask | prefix-length}'}"
security-suite enable,"{'security-suite enable [global-rules-only | interface-rules-only]', 'no security-suite enable'}"
security-suite syn protection mode,"{'no security-suite syn protection mode', 'security-suite syn protection mode {disabled | report | block}', 'security-suite syn protection mode {block | disabled | report}'}"
security-suite syn protection recovery,"{'security-suite syn protection recovery seconds', 'security-suite syn protection recovery timeout', 'no security-suite syn protection recovery'}"
security-suite syn protection threshold,"{'security-suite syn protection threshold syn-packet-rate', 'security-suite syn protection threshold pps', 'no security-suite syn protection threshold'}"
send-lifetime,"{'send-lifetime start-time {infinite | end-time | duration seconds}', 'no send-lifetime'}"
service cpu-utilization,"{'no service cpu-utilization', 'service cpu-utilization'}"
service mirror-configuration,"{'no service mirror-configuration', 'service mirror-configuration'}"
service password-recovery,"{'service password-recovery', 'no service password-recovery'}"
service-acl input,"{'no service-acl input', 'sevice-acl input acl-name1 [acl-name2] [default-action {deny-any | permit-any}]', 'service-acl input acl-name1 [acl-name2] [default-action {deny-any | permit-any}]'}"
service-acl output,"{'no service-acl output', 'service-acl output acl-name1 [acl-name2] [default-action {deny-any | permit-any}]'}"
service-policy,"{'no service-policy input | output', 'service-policy input policy-map-name', 'no service-policy input', 'service-policy {input | output} policy-map-name', 'service-policy {input | output} policy-map-name [default-action {permit-any | deny-any}]'}"
set,"{'no set queue', 'no set', 'set queue queue-id', 'set {dscp new-dscp | queue queue-id | cos new-cos}'}"
set ip next-hop,"{'no set ip next-hop', 'set ip next-hop next-hop'}"
set ipv6 next-hop,"{'set ipv6 next-hop next-hop', 'no set ipv6 next-hop'}"
sflow counters-sampling,"{'no sflow counters-sampling', 'sflow counters-sampling interval receiver-index'}"
sflow flow-sampling,"{'no sflow flow-sampling', 'sflow flow-sampling rate receiver-index [max-header-size bytes]'}"
sflow receiver,"{'sflow receiver index {ipv4-address | ipv6-address | hostname} [port port] [max-datagram-size bytes]', 'no sflow receiver index'}"
sflow receiver source-interface,"{'sflow receiver source-interface interface-id', 'no sflow receiver source-interface'}"
sflow receiver source-interface-ipv6,"{'no sflow receiver source-interface-ipv6', 'sflow receiver source-interface-ipv6 interface-id'}"
show access-lists,"{'show access-liststime-range-active [name]', 'show access-lists', 'show access-lists [name]', 'show {ip | ipv6 | mac} access-lists [acl-name]', 'show access-lists time-range-active [name]'}"
show arp,"{'show arp [ip-address ip-address] [mac-address mac-address] [interface-id]', 'show arp'}"
show banner,"{'show banner login', 'show banner exec', 'show banner {login | exec}'}"
show bonjour,"{'show bonjour', 'show bonjour [interface-id]'}"
show bootvar / show version,"{'show version', 'show bootvar'}"
show bridge multicast address-table,"{'show bridge multicast address-table [vlan vlan-id]', 'show bridge multicast address-table [vlan vlan-id] [address ipv6-multicast-address] [source ipv6-source-address]', 'show bridge multicast address-table [vlan vlan-id] [address mac-multicast-address] [format {ip | mac}]', 'show bridge multicast address-table [vlan vlan-id] [address ipv4-multicast-address] [source ipv4-source-address]'}"
show bridge multicast address-table static,"{'show bridge multicast address-table static [vlan vlan-id] [address ipv6-multicast-address] [source ipv6-source-address]', 'show bridge multicast address-table static [vlan vlan-id] [all]', 'show bridge multicast address-table static [vlan vlan-id] [address ipv4-multicast-address] [source ipv4-source-address]', 'show bridge multicast address-table static [vlan vlan-id] [address mac-multicast-address] [mac| ip]'}"
show cable-diagnostics cable-length,"{'show cable-diagnostics cable-length [interface interface-id]', 'show cable-diagnostics cable-length {interfaces interface-id}'}"
show cdp entry,"{'show cdp entry {* | WORD} [protocol | version]', 'show cdp entry {* | device-name} [protocol | version]'}"
show cdp neighbors,"{'show cdp neighbors [interface-id] [detail]', 'show cdp neighbors [interface-id] [detail | secondary]'}"
show cdp tlv,"{'show cdp tlv interface-id', 'show cdp tlv [interface-id]'}"
show dot1x,"{'show dot1x [interface interface-id | detailed]', 'show dot1x [interfaces interface-id]'}"
show fiber-ports optical-transceiver,"{'show fiber-ports optical-transceiver interfaces interface-id [detailed]', 'show fiber-ports optical-transceiver [interface interface-id]'}"
show gvrp configuration,"{'show gvrp configuration [interfaces interface-id ]', 'show gvrp configuration [interface-id | detailed]'}"
show gvrp error-statistics,"{'show gvrp error-statistics [interfaces interface-id]', 'show gvrp error-statistics [interface-id]'}"
show gvrp statistics,"{'show gvrp statistics [interface-id]', 'show gvrp statistics [interfaces interface-id]'}"
show hosts,"{'show hosts [all | hostname]', 'show hosts'}"
show interfaces protected-ports,"{'show interfaces protected-ports [interface-id | detailed]', 'show interfaces protected-ports interface-id'}"
show interfaces switchport,"{'show interfaces switchport [interface-id]', 'show interfaces switchport interface-list'}"
show ip arp inspection,"{'show ip arp inspection', 'show ip arp inspection [interface-id]'}"
show ip arp inspection statistics,"{'show ip arp inspection statistics [VLAN VLAN-LIST]', 'show ip arp inspection statistics [vlan vlan-id]'}"
show ip dhcp snooping,"{'show ip dhcp snooping', 'show ip dhcp snooping [interface-id]'}"
show ip dhcp snooping binding,"{'show ip dhcp snooping binding', 'show ip dhcp snooping binding [mac-address mac-address] [ip-address ip-address] [vlan vlan-id] [interface-id]'}"
show ip igmp snooping groups,"{'show ip igmp snooping groups [vlan vlan-id] [address ip-multicast-address] [source ip-address]', 'show ip igmp snooping groups [counters | dynamic | static]'}"
show ip igmp snooping mrouter,"{'show ip igmp snooping mrouter [dynamic | static | forbidden]', 'show ip igmp snooping mrouter [interface vlan-id]'}"
show ip ssh-client,"{'show ip ssh-client {mypubkey | key} {dsa | rsa}', 'show ip ssh-client'}"
show ipv6 mld snooping groups,"{'show ipv6 mld snooping groups [vlan vlan-id] [address ipv6-multicast-address] [source ipv6-address]', 'show ipv6 mld snooping groups [{dynamic | static} | counters]'}"
show ipv6 mld snooping mrouter,"{'show ipv6 mld snooping mrouter [dynamic | static | forbidden]', 'show ipv6 mld snooping mrouter [interface vlan-id]'}"
show ipv6 prefix-list,"{'show ipv6 prefix-list list-name ipv6-prefix/prefix-length [longer | first-match]', 'show ipv6 prefix-list list-name seq seq-num', 'show ipv6 prefix-list [detail [list-name] | summary [list-name]'}"
show lacp,"{'show lacp [channel-group-number] counters', 'show lacp [channel-group-number] {internal | neighbor} [detail]', 'show lacp sys-id', 'show lacp interface-id [parameters | statistics | protocol-state]'}"
show lldp statistics,"{'show lldp statistics [interface-id | detailed]', 'show lldp [interfaces interface-id] statistics'}"
show logging,"{'show logging', 'show logging [buffered | file]'}"
show loopback-detection,"{'show loopback-detection [interfaces interface-id]', 'show loopback-detection [interface-id | detailed]'}"
show mac address-table,"{'show mac address-table [mac-address] [vlan vlan]', 'show mac address-table [dynamic | static] [interfaces interface-id] [vlan vlan]', 'show mac address-table [dynamic | static | secure] [vlan vlan] [interface interface-id] [address mac-address]'}"
show power inline,"{'show power inline [interface-id | module unit-id]', 'show power inline [interface-id]'}"
show power inline monitor consumption,"{'show power inline monitor consumption [interface-id ] {minutes|hours | days |weeks}', 'show power inline monitor consumption {interface interface-id | Unit unit-id} {minutes|hours | days |weeks}'}"
show qos aggregate-policer,"{'show qos aggregate-policer [aggregate-policer-name ]', 'show qos aggregate-policer [aggregate-policer-name]'}"
show qos map,"{'show qos map [dscp-queue | dscp-dp| dscp-mutation | policed-dscp | policed-cos]', 'show qos map [{cos-queue | dscp-queue | ip-precedence-queue | queue-cos | queue-dscp | queue-precedence}]'}"
show queue statistics,"{'show queue statistics [interface-id] [detailed]', 'show queue statistics [interface-id]'}"
show rate-limit vlan,"{'show rate-limit vlan [vlan-id]', 'show rate-limit vlan vlan-id'}"
show rmon alarm,"{'show rmon alarm {all | index}', 'show rmon alarm number'}"
show rmon history,"{'show rmon history {all | index } [statistic]', 'show rmon history index {throughput | errors | other} [period seconds]'}"
show running-config,"{None, 'show running-config [interfaces interface-list]'}"
show security-suite syn protection,"{'show security-suite syn protection [interface-id]', 'show security-suite syn protection'}"
show spanning-tree,"{'show spanning-tree [detail] [active | blockedports] [{instance instance-id} | {vlan vlan-id}]', 'show spanning-tree inconsistentports', 'show spanning-tree mst-configuration digest', 'show spanning-tree', 'show spanning-tree [interface-id] [{instance instance-id} | {vlan vlan-id}]', 'show spanning-tree mst-configuration'}"
show startup-config,"{'show startup-config', 'show startup-config [interface interface-id-list]'}"
show switchport monitor,"{'show switchport monitor utilization [interface-id]', 'show switchport monitor interface-id {days |weeks}', 'show switchport monitor interface-id {seconds | minutes | hours | days |weeks} [utilization | tx | rx | frames]'}"
show tacacs,"{'show tacacs [ip-address]', 'show tacacs'}"
show tech-support,"{'show tech-support [modules]', 'show tech-support [config | memory ]'}"
show time-range,"{'show time-range time-range-name', 'show time-range [NAME]'}"
show vlan,"{'show vlan VLAN-LIST [interfaces interface-id membership]', 'show vlan [tag vlan-id | name vlan-name]', 'show vlan [VLAN-LIST | dynamic | static]'}"
show voice vlan,"{'show voice vlan [type {oui [{interface-id | detailed}] | auto}]', 'show voice vlan [type {auto | oui}] [interfaces interface-id]'}"
shutdown,"{'no shutdown', None, 'shutdown'}"
smartport storm-control,"{'no smartport storm-control', 'smartport storm-control multicast [registred | unregistred] {level level | kbps kbps} [trap] [shutdown]', 'smartport storm-control broadcast {level level | kbps kbps} [trap] [shutdown]', 'no smartport storm-control multicast', 'no smartport storm-control broadcast', 'smartport storm-control unicast {level level | kbps kbps} [trap] [shutdown]', 'no smartport storm-control unicast'}"
snmp trap link-status,"{'snmp trap link-status', 'no snmp trap link-status'}"
snmp-server,"{'snmp-server', 'no snmp-server'}"
snmp-server community,"{'snmp-server community community-string [view view-name] {ro | rw}', 'snmp-server community community-string group group-name', 'snmp-server community community-string [ro | rw | su] [ip-address | ipv6-address] [mask mask | prefix prefix-length] [view view-name] [type {router | oob}]', 'no snmp-server community community-string [ip-address] [type {router | oob}]', 'no snmp-server community community-string'}"
snmp-server contact,"{'snmp-server contact text', 'snmp-server contact contact', 'no snmp-server contact'}"
snmp-server enable traps,"{'no snmp-server enable traps', 'snmp-server enable traps'}"
snmp-server engineID local,"{'snmp-server engineID local {engineid-string | default}', 'no snmp-server engineID local'}"
snmp-server engineID remote,"{'no snmp-server engineID remote ip-address', 'snmp-server engineID remote ip-address engineid-string'}"
snmp-server filter,"{'no snmp-server filter filter-name [oid-tree]', 'snmp-server filter filter-name oid-tree {included | excluded}'}"
snmp-server group,"{'snmp-server group groupname {v1 | v2 | v3 {noauth | auth | priv} [notify notifyview]} [read readview] [write writeview]', 'snmp-server group groupname {v1 | v2c | v3} {noauth | auth | priv} read-view readview write-view writeview [notify-view notifyview]', 'no snmp-server group groupname {v1 | v2c | v3} {noauth | auth | priv}', 'no snmp-server group groupname {v1 | v2 | v3 [noauth | auth | priv]}'}"
snmp-server host,"{'no snmp-server host {ipv4address | hostname | ipv6address}', 'no snmp-server host {ip-address | hostname} [traps | informs] [version {1 | 2c | 3}]', 'snmp-server host {ipv4address | hostname | ipv6address} [traps | informs] [version {1 | 2c | 3} [noauth | auth | priv] community-string [udp-port port-number ] [timeout timeout-value] [retries retry-time]', 'snmp-server host {host-ip | hostname} [traps | informs] [version {1 | 2c | 3 [auth | noauth | priv]}] community-string [udp-port port] [filter filtername] [timeout seconds] [retries retries]'}"
snmp-server location,"{'no snmp-server location', 'snmp-server location text', 'snmp-server location location'}"
snmp-server server,"{'snmp-server server', 'no snmp-server server'}"
snmp-server source-interface,"{'snmp-server source-interface {traps | informs} interface-id', 'no snmp-server source-interface [traps | informs]'}"
snmp-server source-interface-ipv6,"{'no snmp-server source-interface-ipv6 [traps | informs]', 'snmp-server source-interface-ipv6 {traps | informs} interface-id'}"
snmp-server trap,"{'no snmp-server trap [auth | cold-start | linkUpDown | port-security | warm-start]', 'snmp-server trap [auth | cold-start | linkUpDown | port-security | warm-start]'}"
snmp-server trap authentication,"{'snmp-server trap authentication', 'no snmp-server trap authentication'}"
snmp-server user,"{'snmp-server user username groupname {v1 | v2c | [remote host] v3[auth { sha | sha224| sha256| sha384| sha512} auth-password [priv priv-password]}', 'no snmp-server user username {v1 | v2c | [remote host] v3}', 'snmp-server user username groupname auth {sha | sha224 | sha256 | sha384 | sha512} AUTHPASSWD priv PRIVPASSWD', 'no snmp-server user username', 'encrypted snmp-server user username groupname {v1 | v2c | [remote host] v3[auth { sha | sha224| sha256| sha384| sha512} encrypted-auth-password [priv encrypted-priv-password]}', 'snmp-server user username groupname [auth {sha | sha224 | sha256 | sha384 | sha512} AUTHPASSWD]'}"
snmp-server view,"{'no snmp-server view view-name [oid-tree]', 'snmp-server view view-name oid-tree {included | excluded}', 'no snmp-server view view-name subtree [oid-tree | all]', 'snmp-server view view-name subtree oid-tree oid-mask {all | MASK} viewtype {included | excluded}'}"
sntp authenticate,"{'no sntp authenticate', 'sntp authenticate'}"
sntp authentication-key,"{'encrypted sntp authentication-key key-number md5 encrypted-key-value', 'sntp authentication-key key-number md5 key-value', 'no sntp authentication-key key-number'}"
sntp broadcast client enable,"{'no sntp broadcast client enable', 'sntp broadcast client enable [both | ipv4 | ipv6]'}"
sntp client enable,"{'sntp client enable interface-id', 'no sntp client enable interface-id'}"
sntp client enable (interface),"{'no sntp client enable', 'sntp client enable'}"
sntp server,"{'no sntp server [ip-address | hostname]', 'sntp server {default | {ip-address | hostname} [poll] [key keyid]}', 'no sntp', 'sntp server {ip-address | hostname} [port port-number]'}"
sntp source-interface,"{'sntp source-interface interface-id', 'no sntp source-interface'}"
sntp source-interface-ipv6,"{'sntp source-interface-ipv6 interface-id', 'no sntp source-interface-ipv6'}"
sntp trusted-key,"{'sntp trusted-key key-number', 'no sntp trusted-key key-number'}"
sntp unicast client enable,"{'no sntp unicast client enable', 'sntp unicast client enable'}"
sntp unicast client poll,"{'sntp unicast client poll', 'no sntp unicast client poll'}"
spanning-tree,"{'spanning-tree', 'no spanning-tree'}"
spanning-tree bpdu (Global),"{'spanning-tree bpdu {filtering | flooding}', 'no spanning-tree bpdu'}"
spanning-tree bpdu (Interface),"{'spanning-tree bpdu {filtering | flooding}', 'no spanning-tree bpdu'}"
spanning-tree bpdu-filter (Interface),"{'spanning-tree bpdu-filter {disable | enable}', 'no spanning-tree bpdu-filter'}"
spanning-tree bpdu-guard (Interface),"{'no spanning-tree bpdu-guard', 'spanning-tree bpdu-guard {disable | enable}'}"
spanning-tree bpduguard,"{'no spanning-tree bpduguard', 'spanning-tree bpduguard {enable | disable}'}"
spanning-tree cost,"{'no spanning-tree cost', 'spanning-tree cost cost'}"
spanning-tree cost (Interface),"{'no spanning-tree cost', 'spanning-tree cost cost'}"
spanning-tree disable,"{'spanning-tree disable', 'no spanning-tree disable'}"
spanning-tree forward-time,"{'no spanning-tree forward-time', 'spanning-tree forward-time seconds'}"
spanning-tree guard root,"{'no spanning-tree guard root', 'spanning-tree guard root'}"
spanning-tree hello-time,"{'no spanning-tree hello-time', 'spanning-tree hello-time seconds'}"
spanning-tree link-type,"{'no spanning-tree spanning-tree link-type', 'spanning-tree link-type {point-to-point | shared}'}"
spanning-tree link-type (Interface),"{'no spanning-tree link-type', 'spanning-tree link-type {point-to-point | shared}'}"
spanning-tree loopback-guard,"{'no spanning-tree loopback-guard', 'spanning-tree loopback-guard'}"
spanning-tree max-age,"{'no spanning-tree max-age', 'spanning-tree max-age seconds'}"
spanning-tree max-hops,"{'no spanning-tree max-hops', 'spanning-tree max-hops hop-count'}"
spanning-tree mode,"{'no spanning-tree mode', 'spanning-tree mode {stp| rstp | mst | pvst | rapid-pvst}', 'spanning-tree mode {mstp | rstp | stp}'}"
spanning-tree mst cost,"{'no spanning-tree mst instance-id cost', 'spanning-tree mst instance-id cost cost'}"
spanning-tree mst instance,"{'spanning-tree mst instance instance-id', 'no spanning-tree mst instance instance-id'}"
spanning-tree mst max-hops,"{'spanning-tree mst max-hops hop-count', 'no spanning-tree mst max-hops'}"
spanning-tree mst port-priority,"{'no spanning-tree mst instance-id port-priority', 'spanning-tree mst instance-id port-priority priority'}"
spanning-tree mst priority,"{'no spanning-tree mst instance-id priority', 'spanning-tree mst instance-id priority priority'}"
spanning-tree pathcost method,"{'no spanning-tree pathcost method', 'spanning-tree pathcost method {long | short}'}"
spanning-tree port-priority,"{'spanning-tree port-priority priority', 'no spanning-tree port-priority'}"
spanning-tree portfast,"{'spanning-tree portfast [auto]', 'spanning-tree portfast', 'no spanning-tree portfast'}"
spanning-tree priority,"{'no spanning-tree priority', 'spanning-tree priority priority'}"
spanning-tree tx-hold-count,"{'spanning-tree tx-hold-count value', 'no spanning-tree tx-hold-count'}"
spanning-tree vlan cost,"{'no spanning-tree vlan vlan-range cost', 'spanning-tree vlan vlan-range cost cost'}"
spanning-tree vlan forward-time,"{'spanning-tree vlan vlan-range forward-time seconds', 'no spanning-tree vlan vlan-range forward-time'}"
spanning-tree vlan hello-time,"{'spanning-tree vlan vlan-range hello-time seconds', 'no spanning-tree vlan vlan-range hello-time'}"
spanning-tree vlan max-age,"{'no spanning-tree vlan vlan-range max-age', 'spanning-tree vlan vlan-range max-age seconds'}"
spanning-tree vlan port-priority,"{'no spanning-tree vlan vlan-range port-priority', 'spanning-tree vlan vlan-range port-priority priority'}"
spanning-tree vlan priority,"{'no spanning-tree vlan vlan-range priority', 'spanning-tree vlan vlan-range priority priority'}"
speed,"{'speed {100 | 1000 | 2500 | 5000 | 10000}', 'speed {10 | 100 | 1000 | 10000 | auto}', 'speed bps', 'no speed'}"
ssd file integrity control,"{'no ssd file integrity control', 'ssd file integrity control enabled'}"
ssd file passphrase control,"{'no ssd file passphrase control', 'ssd file passphrase control {restricted | unrestricted}'}"
ssd rule,"{'no ssd rule [ {all | level-15 | default-user | user user-name}', '{secure | insecure | secure-xml-snmp | insecure-xml-snmp}]', '[encrypted] SSD rule {all | level-15 | default-user | user user-name}', '{secure | insecure | secure-xml-snmp | insecure-xml-snmp}', 'permission {encrypted-only | plaintext-only | both | exclude}', 'default-read {encrypted | plaintext | exclude}'}"
ssd session read,"{'ssd session read {encrypted | plaintext | exclude}', 'no ssd session read'}"
stack configuration,"{'stack configuration {[links ports-list] [unit-id {unit-id | auto}] }', 'no stack configuration'}"
storm-control,"{'storm-control broadcast {level level | kbps kbps} [trap] [shutdown]', 'no storm-control broadcast', 'no storm-control unicast', 'storm-control multicast [registered | unregistered] {level level | kbps kbps} [trap] [shutdown]', 'storm-control unicast {level level | kbps kbps} [trap] [shutdown]', 'no storm-control multicast', 'no storm-control'}"
storm-control action,"{'storm-control action {drop | shutdown}', 'no storm-control action'}"
storm-control broadcast,"{'no storm-control broadcast', 'storm-control broadcast'}"
storm-control broadcast level,"{'no storm-control broadcast level', 'storm-control broadcast level {pps | kbps}'}"
storm-control enable,"{'no storm-control enable', 'storm-control enable'}"
storm-control unknown-multicast,"{'no storm-control unknown-multicast', 'storm-control unknown-multicast'}"
storm-control unknown-multicast level,"{'storm-control unknown-multicast level {pps | kbps}', 'no storm-control unknown-multicast level'}"
storm-control unknown-unicast,"{'storm-control unknown-unicast', 'no storm-control unknown-unicast'}"
storm-control unknown-unicast level,"{'no storm-control unknown-unicast level', 'storm-control unknown-unicast level {pps | kbps}'}"
surveillance-vlan aging-timeout,"{'no surveillance-vlan aging-timeout', 'minutes—The amount of time after surveillance traffic stops on the interface before the interface is removed from the ASV. (Range: 1-43200)', 'surveillance-vlan aging-timeout minutes'}"
surveillance-vlan cos,"{'no surveillance-vlan cos', 'surveillance-vlan cos cos'}"
surveillance-vlan vlan-id,"{'surveillance-vlan vlan-id vlan-id', 'no surveillance-vlan vlan-id'}"
switchport,"{'switchport', 'no switchport'}"
switchport access multicast-tv vlan,"{'no switchport access multicast-tv vlan', 'switchport access multicast-tv vlan vlan-id'}"
switchport access vlan,"{'switchport access vlan vlan-id', 'switchport access vlan {vlan-id | none}', 'no switchport access vlan'}"
switchport customer vlan,"{'switchport customer vlan vlan-id', 'no switchport customer vlan'}"
switchport default-vlan tagged,"{'switchport default-vlan tagged', 'no switchport default-vlan tagged'}"
switchport dot1q-tunnel vlan,"{'switchport dot1q-tunnel vlan vlan-id', 'no switchport dot1q-tunnel vlan'}"
switchport forbidden default-vlan,"{'no switchport forbidden default-vlan', 'switchport forbidden default-vlan'}"
switchport general acceptable-frame-type,"{'no switchport general acceptable-frame-type', 'switchport general acceptable-frame-type {tagged-only | untagged-only | all}'}"
switchport general allowed vlan,"{'no switchport general allowed vlan', 'switchport general allowed vlan {add vlan-list [tagged | untagged] | remove vlan-list }', 'switchport general allowed vlan remove vlan-list', 'switchport general allowed vlan add vlan-list [tagged | untagged]'}"
switchport general forbidden vlan,"{'no switchport general forbidden vlan', 'switchport general forbidden vlan {add vlan-list | remove vlan-list}'}"
switchport general ingress-filtering disable,"{'switchport general ingress-filtering disable', 'no switchport general ingress-filtering disable'}"
switchport general map macs-group vlan,"{'switchport general map macs-group group vlan vlan-id', 'no switchport general map macs-group group'}"
switchport general map protocols-group vlan,"{'no switchport general map protocols-group group', 'switchport general map protocols-group group vlan vlan-id'}"
switchport general map subnets-group vlan,"{'no switchport general map subnets-group group', 'switchport general map subnets-group group vlan vlan-id'}"
switchport general pvid,"{'no switchport general pvid', 'switchport general pvid vlan-id'}"
switchport mode,"{'switchport mode access | trunk | general | private-vlan {promiscuous | host} | customer | vlan-mapping {tunnel | one-to-one }', 'switchport mode {access | trunk | general | dot1q-tunnel}', 'no switchport mode'}"
switchport nni ethtype,"{'switchport nni ethtype dot1q | dot1ad | 9100 | 9200', 'no switchport nni ethtype'}"
switchport port-security,"{'switchport port-security', 'no switchport port-security'}"
switchport port-security mode maximum,"{'no switchport port-security maximum', 'switchport port-security mode {classic | dynamic} maximum max-addr action { discard | {discard-snmp-log trap-freq seconds} | {discard-snmp-log-shutdown trap-freq seconds} | forward}'}"
switchport private-vlan host-association,"{'switchport private-vlan host-association primary-vlan-id secondary-vlan-id', 'no switchport private-vlan host-association'}"
switchport private-vlan mapping,"{'switchport private-vlan mapping primary-vlan-id [add | remove] secondary-vlan-list', 'no switchport private-vlan mapping'}"
switchport protected,"{'no switchport protected', 'switchport protected'}"
switchport protected-port,"{'no switchport protected-port', 'switchport protected-port'}"
switchport trunk allowed vlan,"{'switchport trunk allowed vlan {add vlan-list | remove vlan-list | all}', 'no switchport trunk allowed vlan', 'switchport trunk allowed vlan {all | none | vlan-list | add vlan-list | remove vlan-list | except vlan-list}'}"
switchport trunk native vlan,"{'switchport trunk native vlan {vlan-id | none}', 'switchport trunk native vlan vlan-id', 'no switchport trunk native vlan'}"
switchport vlan-mapping one-to-one,"{'switchport vlan-mapping one-to-one vlan-id translated-vlan-id', 'no switchport vlan-mapping one-to-one [vlan-id]'}"
switchport vlan-mapping tunnel,"{'no switchport vlan-mapping tunnel [vlan-list | default]', 'switchport vlan-mapping tunnel {vlan-list | default} {outer-vlan-id | drop}'}"
switchport vlan-mapping tunnel l2protocol cos,"{'no switchport vlan-mapping tunnel l2protocol cos', 'switchport vlan-mapping tunnel l2protocol cos cos-value'}"
switchport vlan-mapping tunnel l2protocol cos interface,"{'vlan-mapping tunnel l2protocol cos interface', 'switchport vlan-mapping tunnel l2protocol cos interface cos-value'}"
switchport vlan-mapping tunnel l2protocol drop-threshold,"{'switchport vlan-mapping tunnel l2protocol drop-threshold [disable | enable committed-rate-kbps]', 'no switchport vlan-mapping tunnel l2protocol drop-threshold'}"
switchport vlan-mapping tunnel l2protocol forward,"{'switchport vlan-mapping tunnel l2protocol forward [protocol]', 'no switchport vlan-mapping tunnel l2protocol forward [protocol]'}"
switchport vlan-mapping tunnel l2protocol vlan,"{'switchport vlan-mapping tunnel l2protocol vlan vlan-id', 'no switchport vlan-mapping tunnel l2protocol vlan'}"
system light,"{'system light stop', 'system light [unit unit-id] [duration seconds]'}"
system recovery,"{'no system recovery', 'system recovery'}"
system reset-button disable,"{'system reset-button disable', 'no system reset-button disable'}"
system resources,"{'no system resources', 'system resources [policy-ip-routes max-number] [policy-ipv6-routes max-number] [vlan-mapping-entries max-number]'}"
